City_ID,City,Country,Date,Max Temp,Cloudiness,Wind Speed,Humidity,Lng,Lat
0,Hermanus,ZA,1651350334,14.96,79,1.34,86,19.2345,-34.4187
1,Impfondo,CG,1651350335,24.32,12,0.8,68,18.0667,1.6381
2,Rikitea,PF,1651350335,24.4,51,5.43,76,-134.9692,-23.1203
3,Port Alfred,ZA,1651350336,13.99,1,0.89,83,26.891,-33.5906
4,Emba,KZ,1651350336,13.82,100,7.65,66,58.1442,48.8264
5,San Patricio,US,1651350135,30.05,95,7.33,62,-97.5169,28.017
6,Qian’an,CN,1651350337,2.39,97,3.08,53,124.0581,44.9932
7,Klaksvík,FO,1651350203,6.51,25,3.77,88,-6.589,62.2266
8,Kavaratti,IN,1651350338,29.41,48,4.59,72,72.642,10.5669
9,Punta Arenas,CL,1651350147,6.06,40,4.12,81,-70.9167,-53.15
10,Plouzané,FR,1651350338,10.03,0,3.09,87,-4.6167,48.3833
11,Varzelândia,BR,1651350339,28.89,73,1.65,29,-44.0275,-15.7014
12,Aswān,EG,1651350116,32.61,0,3.6,10,32.907,24.0934
13,Cabo San Lucas,MX,1651350288,30.34,40,3.6,41,-109.9124,22.8909
14,Torbay,CA,1651350340,7.09,100,2.06,96,-52.7314,47.6666
15,Castro,BR,1651350340,19.64,43,0.47,86,-50.0119,-24.7911
16,Provideniya,RU,1651350341,-0.72,100,7.03,91,-173.3,64.3833
17,Neuquén,AR,1651350290,18.94,0,3.6,26,-68.0591,-38.9516
18,Atuona,PF,1651350083,26.05,7,5.98,76,-139.0333,-9.8
19,Saskylakh,RU,1651350342,-11.82,100,7.32,93,114.0833,71.9167
20,Naze,JP,1651350342,17.51,100,5.78,75,129.4833,28.3667
21,Qaanaaq,GL,1651350086,-8.59,89,1.9,76,-69.3632,77.484
22,Dakar,SN,1651350239,22.49,0,3.09,88,-17.4441,14.6937
23,Metro,ID,1651350343,23.87,98,2.03,93,105.3067,-5.1131
24,Ponta do Sol,PT,1651350060,19.28,0,0.97,69,-17.1,32.6667
25,Saint-Philippe,RE,1651350344,24.77,9,5.13,79,55.7679,-21.3585
26,Busselton,AU,1651350345,12.77,0,2.6,87,115.3333,-33.65
27,Lüderitz,NA,1651350345,14.89,0,7.69,66,15.1594,-26.6481
28,Pusad,IN,1651350346,33.96,5,5.1,16,77.5833,19.9
29,Ancud,CL,1651350346,11.11,100,3.08,80,-73.8203,-41.8697
30,Tabou,CI,1651350092,27.27,100,3.3,79,-7.3528,4.423
31,Ankara,TR,1651350220,13.66,75,5.14,70,32.8543,39.9199
32,Butaritari,KI,1651350083,27.12,74,6.14,82,172.7902,3.0707
33,Codrington,AU,1651350347,14.23,100,6.04,83,141.9667,-38.2667
34,Geraldton,AU,1651350348,12.23,0,4.63,76,114.6,-28.7667
35,Arraial do Cabo,BR,1651350348,23.92,75,4.12,83,-42.0278,-22.9661
36,São Gabriel da Cachoeira,BR,1651350349,27.04,63,1.29,88,-67.0892,-0.1303
37,Carnarvon,AU,1651350091,17.04,0,4.12,59,113.6333,-24.8667
38,Guerrero Negro,MX,1651350349,20.26,80,6.83,57,-114.0611,27.9769
39,Ushuaia,AR,1651350102,5.81,0,0.0,81,-68.3,-54.8
40,Itaqui,BR,1651350350,16.14,98,4.84,83,-56.5531,-29.1253
41,Denpasar,ID,1651350351,25.81,20,2.57,94,115.2167,-8.65
42,Avarua,CK,1651350351,28.03,20,4.63,78,-159.775,-21.2078
43,Lompoc,US,1651350352,26.46,0,11.18,61,-120.4579,34.6391
44,Ruteng,ID,1651350352,16.99,100,0.61,88,120.4721,-8.6136
45,Solnechnyy,RU,1651350353,-3.26,51,2.48,85,136.6319,50.7214
46,Smidovich,RU,1651350248,3.49,100,9.04,57,133.8167,48.6
47,Albany,US,1651350353,17.92,89,3.19,24,-73.9662,42.6001
48,Chokurdakh,RU,1651350354,-10.8,31,3.55,94,147.9167,70.6333
49,Longyearbyen,SJ,1651350354,-11.09,0,4.12,62,15.6401,78.2186
50,Airai,TL,1651350355,15.37,87,1.35,84,125.4092,-8.9266
51,Tasiilaq,GL,1651350355,5.09,10,0.25,63,-37.6368,65.6145
52,Vila Franca do Campo,PT,1651350356,17.23,16,1.83,80,-25.4333,37.7167
53,Batemans Bay,AU,1651350356,12.83,41,1.65,73,150.1833,-35.7167
54,Kabompo,ZM,1651350357,15.28,3,1.91,72,24.2008,-13.5927
55,Luohe,CN,1651350357,10.07,100,1.82,52,114.0353,33.5717
56,Puerto Ayora,EC,1651350182,26.98,89,3.89,78,-90.3518,-0.7393
57,Yumen,CN,1651350358,7.39,0,1.58,30,97.2,40.2833
58,Dikson,RU,1651350359,-8.65,100,8.29,94,80.5464,73.5069
59,Saint George,US,1651350260,27.66,0,1.34,13,-113.5841,37.1041
60,Tuburan,PH,1651350359,27.2,100,0.22,80,122.2736,6.6439
61,Kattivākkam,IN,1651350360,30.05,0,5.75,91,80.3167,13.2167
62,Roald,NO,1651350177,8.2,0,2.06,76,6.1333,62.5833
63,Barrow,US,1651350360,-6.99,20,4.12,86,-156.7887,71.2906
64,Kerema,PG,1651350361,24.92,94,2.1,86,145.7785,-7.9631
65,Smirnykh,RU,1651350362,-1.48,62,1.58,89,142.8333,49.75
66,Eyl,SO,1651350362,28.95,40,3.77,75,49.8164,7.9803
67,Chemodanovka,RU,1651350363,3.56,24,3.14,79,45.2474,53.2316
68,Ust'-Barguzin,RU,1651350257,1.34,98,1.49,98,108.9833,53.45
69,Kaitangata,NZ,1651350112,10.18,100,2.6,84,169.8464,-46.2817
70,Mataura,NZ,1651350092,17.49,100,1.7,86,168.8643,-46.1927
71,Cherskiy,RU,1651350364,-12.33,80,2.07,93,161.3,68.75
72,Cidreira,BR,1651350078,18.86,100,4.4,70,-50.2056,-30.1811
73,Ayan,RU,1651350364,0.12,100,3.1,93,138.1667,56.45
74,Tuatapere,NZ,1651350365,14.66,100,5.41,75,167.6833,-46.1333
75,Coquimbo,CL,1651349817,14.85,0,4.63,77,-71.3436,-29.9533
76,Iqaluit,CA,1651350126,-4.15,75,4.63,79,-68.5145,63.7506
77,Jieshi,CN,1651350366,23.3,100,7.21,91,115.8257,22.8134
78,Kapaa,US,1651350366,25.99,75,8.75,77,-159.319,22.0752
79,Okhotsk,RU,1651350367,-0.04,50,3.03,90,143.3,59.3833
80,East London,ZA,1651350368,17.16,0,5.65,71,27.9116,-33.0153
